Capella	104.02128	0.00089	25.9611	26.8400	29.9378	2448147.6	342.6
Mizar	20.54	0.537	68.6	67.6	-5.6	2436997	106.16
BAT99-12	3.2358	0.34	74	0.0	646	2452269.84	-29
BAT99-19	17.9947	0.34	234	0.0	328	2452006.6737	188.2
BAT99-32	1.90756	0.06	120	0.0	288	2453011.57	250
BAT99-77	3.00303	0.32	144	0.0	339	2452631.87	7
BAT99-92	4.3125	0.02	204	0.0	332	2452998.03	109
BAT99-95	2.1110	0.07	107	107	274	2452999.87	285
BAT99-99	92.60	0.0	91	0.0	337	2453007.8	0.0
BAT99-103	2.75975	0.23	158	0.0	388	2453007.8	-41
BAT99-113	4.699	0.20	130	0.0	390	2452993.07	308
BAT99-119	159.62413	0.8060	103.6355	117.0775	270	2456501.2889	230.82
NGC3603-A1	3.7724	0.0	330	433	153	2403765.25	120
NN-Del	99.1648477	0.5177	36.2432	39.4582	-9.4046	2456787.1095	350.5696
PX-Hya	36.1828518	0.5652	57.6967	56.5568	-14.9896	2456743.2661	325.1146
HR5110	2.613214	0.00	8.9	5.0	8.6	2445766.655	89
